timestamp_iso,ensemble_score,adaptive_threshold,is_anomaly
2026-05-08T17:11:53.439836Z,85.223,88.892,False
2026-05-08T17:11:55.498219Z,85.167,88.89,False
2026-05-08T17:11:57.563676Z,86.459,88.888,False
2026-05-08T17:11:59.630358Z,83.498,88.886,False
2026-05-08T17:12:01.695843Z,84.923,88.871,False
2026-05-08T17:12:33.206727Z,76.677,20.647,True
2026-05-08T17:12:35.235565Z,79.21,20.647,True
2026-05-08T17:12:37.300350Z,77.372,20.647,True
2026-05-08T17:12:39.356982Z,77.417,20.647,True
2026-05-08T17:12:41.422419Z,81.628,20.647,True
2026-05-08T17:12:43.488087Z,82.736,20.647,True
2026-05-08T17:12:45.550074Z,81.378,20.647,True
2026-05-08T17:12:47.614792Z,68.018,20.647,True
2026-05-08T17:12:49.681555Z,70.779,20.647,True
2026-05-08T17:12:51.751956Z,85.7,20.647,True
2026-05-08T17:12:53.814721Z,82.968,20.647,True
2026-05-08T17:12:55.886620Z,82.074,20.647,True
2026-05-08T17:12:57.949494Z,85.981,20.647,True
2026-05-08T17:13:00.013376Z,86.453,20.647,True
2026-05-08T17:13:02.078965Z,84.015,20.647,True
2026-05-08T17:13:04.202552Z,83.375,20.647,True
2026-05-08T17:13:06.221695Z,86.349,20.647,True
2026-05-08T17:13:08.283950Z,86.76,20.647,True
2026-05-08T17:13:10.346710Z,84.741,20.647,True
2026-05-08T17:13:12.410317Z,84.128,20.647,True
2026-05-08T17:13:14.472057Z,70.054,20.647,True
2026-05-08T17:13:16.540556Z,68.763,20.647,True
2026-05-08T17:13:18.603723Z,85.145,20.647,True
2026-05-08T17:13:20.664713Z,84.56,20.647,True
2026-05-08T17:13:22.741120Z,87.063,20.647,True
2026-05-08T17:13:24.805263Z,87.732,20.647,True
2026-05-08T17:13:26.873128Z,85.124,20.647,True
2026-05-08T17:13:28.939811Z,85.01,20.647,True
2026-05-08T17:13:31.008201Z,87.357,20.647,True
2026-05-08T17:13:33.084913Z,88.166,20.647,True
2026-05-08T17:13:35.118560Z,85.929,20.647,True
2026-05-08T17:13:37.185676Z,85.787,20.647,True
2026-05-08T17:13:39.245800Z,88.36,20.647,True
2026-05-08T17:13:41.296872Z,66.764,20.647,True
2026-05-08T17:13:43.365853Z,63.333,20.647,True
2026-05-08T17:13:45.430443Z,86.709,20.647,True
2026-05-08T17:13:47.490540Z,88.36,20.647,True
2026-05-08T17:13:49.564862Z,89.177,20.647,True
2026-05-08T17:13:51.635136Z,81.509,20.647,True
2026-05-08T17:13:53.702677Z,84.08,20.647,True
2026-05-08T17:13:55.766457Z,85.113,20.647,True
2026-05-08T17:13:57.830851Z,85.207,20.647,True
2026-05-08T17:13:59.905598Z,85.297,20.647,True
2026-05-08T17:14:01.972093Z,86.702,20.647,True
2026-05-08T17:14:04.040943Z,83.935,20.647,True
2026-05-08T17:14:06.095023Z,84.865,20.647,True
2026-05-08T17:14:08.156494Z,85.176,20.647,True
